bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,4.56,0439785960,9780439785969,eng,652,1944099,26249
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,4.49,0439358078,9780439358071,eng,870,1996446,27613
3,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,4.47,0439554934,9780439554930,eng,320,5629932,70390
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.41,0439554896,9780439554893,eng,352,6267,272
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,4.55,043965548X,9780439655484,eng,435,2149872,33964
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling-Mary GrandPré,4.78,0439682584,9780439682589,eng,2690,38872,154
9,Unauthorized Harry Potter Book Seven News: "Half-Blood Prince" Analysis and Speculation,W. Frederick Zimmerman,3.69,0976540606,9780976540601,en-US,152,18,1
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,9780439827607,eng,3342,27410,820
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,9780517226957,eng,815,3602,258
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,0345453743,9780345453747,eng,815,240189,3954
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,215,4416,408
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams-Stephen Fry,4.22,0739322206,9780739322208,eng,6,1222,253
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,0517149257,9780517149256,en-US,815,2801,192
21,A Short History of Nearly Everything,Bill Bryson-William Roberts,4.20,076790818X,9780767908184,eng,544,228522,8840
22,Bill Bryson's African Diary,Bill Bryson,3.43,0767915062,9780767915069,eng,55,6993,470
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.88,0767910435,9780767910439,eng,256,2020,124
24,In a Sunburned Country,Bill Bryson,4.07,0767903862,9780767903868,eng,335,68213,4077
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.90,076790382X,9780767903820,eng,304,47490,2153
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,9780060920081,en-US,299,43779,2146
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.87,0380713802,9780380713806,eng,254,46397,2127
28,Notes from a Small Island,Bill Bryson,3.92,0380727501,9780380727506,eng,324,76476,3159
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.94,0380715430,9780380715435,eng,270,26672,1986
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9780345538376,eng,1728,97731,1536
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,0618517650,9780618517657,eng,1184,1670,91
32,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,0618346244,9780618346240,eng,1137,2819,139
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.35,0618346252,9780618346257,eng,398,2009749,12784
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien-Alan  Lee,4.49,0618260587,9780618260584,en-US,1216,1606,139
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith-Christopher  Lee-Richard Taylor,4.53,0618391002,9780618391004,eng,218,18934,43
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.50,0618510826,9780618510825,eng,224,343,6
38,The Lord of the Rings Box Set,J.R.R. Tolkien,4.49,0618153977,9780618153978,eng,1223,216,19
40,Cooking with Fernet Branca (Gerald Samper  #1),James Hamilton-Paterson,3.61,193337201X,9781933372013,eng,288,1214,202
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas-David Heinemeier Hansson-Leon Breedt-Mike Clark-Thomas  Fuchs-Andreas  Schwarz,3.89,097669400X,9780976694007,eng,558,1269,59
50,Hatchet,Gary Paulsen,3.70,0689840926,9780689840920,eng,208,254827,11346
51,Hatchet: A Guide for Using "Hatchet" in the Classroom,Donna Ickes-Edward Sciranko-Keith Vasconcelles,3.97,1557344493,9781557344496,eng,48,35,2
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.87,0385326505,9780385326506,eng,144,1996,326
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,eng,56,6,0
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.48,1595580271,9781595580276,en-US,228,99,16
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight-Sahara Kelly-Judy Mays-Marteeka Karland-Kate Douglas-Shelby Morgen-Lacey Savage-Kate Hill-Willa Okati,3.75,1595962808,9781595962805,eng,304,167,4
58,Changeling (Changeling  #1),Delia Sherman,3.60,0670059676,9780670059676,eng,256,957,112
59,The Changeling Sea,Patricia A. McKillip,4.07,0141312629,9780141312620,eng,137,4319,289
61,The Changeling,Zilpha Keatley Snyder,4.17,0595321801,9780595321803,eng,228,1155,92
63,The Changeling,Kate Horsley,3.56,1590301943,9781590301944,eng,339,295,42
66,The Changeling (Daughters of England  #15),Philippa Carr,3.99,0449146979,9780449146972,eng,369,341,12
67,The Known World,Edward P. Jones,3.83,0061159174,9780061159176,eng,388,28962,2576
68,The Known World,Edward P. Jones-Kevin R. Free,3.83,006076273X,9780060762735,en-US,14,50,12
69,The Known World,Edward P. Jones,3.83,0060749911,9780060749910,eng,576,22,3
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9780273704744,eng,334,1398,78
72,Artesia: Adventures in the Known World,Mark Smylie,4.16,1932386106,9781932386103,eng,352,50,4
73,The Known World,Edward P. Jones,3.83,096513671X,9780965136716,eng,388,15,2
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee-William Howarth,4.43,0374517193,9780374517199,eng,416,550,36
75,Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,en-US,248,1561,192
76,Heirs of General Practice,John McPhee,4.15,0374519749,9780374519742,eng,128,253,18
77,The Control of Nature,John McPhee,4.24,0374522596,9780374522599,en-US,288,3365,290
78,Annals of the Former World,John McPhee,4.33,0374518734,9780374518738,eng,720,2966,211
79,Coming Into the Country,John McPhee,4.22,0374522871,9780374522872,eng,448,5452,245
80,La Place de la Concorde Suisse,John McPhee,3.91,0374519323,9780374519322,eng,160,671,52
81,Giving Good Weight,John McPhee,4.22,0374516006,9780374516000,eng,288,533,34
83,Rising from the Plains,John McPhee,4.22,0374520658,9780374520656,eng,208,1263,91
85,The Heidi Chronicles,Wendy Wasserstein,3.73,0822205106,9780822205104,eng,81,1348,69
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.83,0679734996,9780679734994,eng,249,2732,63
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9781596670235,eng,138,31,1
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.75,1581807740,9781581807745,en-US,128,61,4
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker-Rolland Baker,4.45,0800793617,9780800793616,eng,192,822,53
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.70,0871202867,9780871202864,en-US,72,71,2
93,Heidi,Johanna Spyri-Beverly Cleary-Angelo  Rinaldi,3.98,0753454947,9780753454947,eng,352,150657,2175
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.28,0871209993,9780871209993,eng,192,53,5
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker-Heidi Baker,4.45,1852402873,9781852402877,eng,192,34,6
98,What to Expect the First Year (What to Expect),Heidi Murkoff-Sharon Mazel-Heidi Murkoff-Arlene Eisenberg-Sandee Hathaway-Mark D. Widome,3.88,0761129588,9780761129585,eng,832,11489,658
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss-Libby Keatinge,3.82,0972016414,9780972016414,eng,123,34,8
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.75,1581805632,9781581805635,en-US,128,75,4
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.83,0441294677,9780441294671,eng,423,2692,168
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.90,0441102670,9780441102679,eng,436,38651,552
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.87,0441172695,9780441172696,eng,331,96649,2306
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.00,0765306476,9780765306470,en-US,592,755,21
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.85,0399128980,9780399128981,eng,480,261,18
110,The Road to Dune (Dune Universe),Frank Herbert-Brian Herbert-Kevin J. Anderson,3.87,0765353709,9780765353702,eng,426,4561,76
112,Children of Dune (Dune Chronicles #3),Frank Herbert,3.92,0441104029,9780441104024,eng,408,84276,1370
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.85,0441328008,9780441328000,eng,471,45211,616
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,544,66687,4445
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,9780385732543,eng,291,44,12
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell-Stephen R. Graves-Thomas G. Addington,4.28,0785260056,9780785260059,en-US,256,16,1
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.31,0471780936,9780471780939,eng,205,163,16
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.79,0325001537,9780325001531,eng,240,10,0
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.49,006076287X,9780060762872,eng,336,73,9
133,eBay for Dummies,Marsha Collier,3.50,0470045299,9780470045299,eng,386,102,9
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta-Lisa Suttora,3.62,0072262788,9780072262780,eng,260,24,0
137,Starting an eBay Business for Dummies,Marsha Collier,3.52,0764569244,9780764569241,eng,384,51,4
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,9780471933823,eng,260,9,0
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.55,0764559915,9780764559914,en-US,391,19,1
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,9780764584381,en-US,864,17,3
141,Ruby Cookbook,Lucas Carlson-Leonard Richardson,3.82,0596523696,9780596523695,eng,873,163,4
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.09,0806523492,9780806523491,eng,240,47,5
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,9780806525365,eng,206,12,2
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.65,0596527314,9780596527310,eng,514,49,1
151,Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky,4.04,0143035002,9780143035008,eng,838,15747,1795
152,Anna Karenina,Leo Tolstoy-David Magarshack-Priscilla Meyer,4.04,0451528611,9780451528612,eng,960,108970,5694
153,Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky-John Bayley,4.04,0140449175,9780140449174,eng,837,2835,300
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman-Leo Tolstoy,3.89,0822001837,9780822001836,eng,80,15,3
155,Anna Karenina,Leo Tolstoy-Amy Mandelker-Constance Garnett,4.04,1593080271,9781593080273,eng,803,9362,710
156,Anna Karenina,Leo Tolstoy-Louise Maude-Aylmer Maude,4.04,0486437965,9780486437965,eng,752,460,71
157,Anna Karenina,Leo Tolstoy-Constance Garnett-Amy Mandelker,4.04,1593081774,9781593081775,eng,803,298,47
159,Dinner with Anna Karenina,Gloria Goldreich,2.96,0778322270,9780778322276,eng,368,400,64
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,9780521313254,eng,128,1191,32
162,Untouchable,Mulk Raj Anand-E.M. Forster,3.70,0140183957,9780140183955,eng,160,3168,250
163,The Untouchable,John Banville,3.96,0679767479,9780679767473,eng,367,2077,209
164,The Untouchables,Eliot Ness-Oscar Fraley,3.89,1568491980,9781568491981,eng,256,587,29
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,9780743270793,en-US,320,299,39
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar-Y.N. Kly,4.33,0932863051,9780932863058,eng,100,9,0
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon-Gail Omvedt-Eleanor Zelliot,3.58,0742508803,9780742508804,eng,224,16,4
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.40,0205358624,9780205358625,eng,216,10,0
177,A Wrinkle in Time: A Guide for Using "A Wrinkle in Time" in the Classroom,John Carratello-Patty Carratello-Theresa Wright,3.94,1557344035,9781557344038,eng,48,17,0
180,Wrinkles in Time,George Smoot-Keay Davidson,3.99,0380720442,9780380720446,en-US,360,985,23
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.01,0821925326,9780821925324,eng,250,37,7
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.57,043927169X,9780439271691,eng,32,14,0
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.01,0606105263,9780606105262,spa,205,6,1
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.11,0751506435,9780751506433,eng,367,366,16
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9780060786717,eng,352,2934,222
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor-Charley Boorman-Robert Uhlig,3.94,0743499344,9780743499347,en-US,320,346,45
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.60,0765313405,9780765313409,eng,331,9530,604
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford-James Lee Burke,3.91,1400032490,9781400032495,eng,244,770,72
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford-Lawrence Block,4.04,1400032482,9781400032488,eng,215,688,68
216,Miami Blues (Hoke Mosely #1),Charles Willeford-Elmore Leonard,3.94,1400032466,9781400032464,eng,191,2739,158
231,I am Charlotte Simmons,Tom Wolfe,3.41,0312424442,9780312424442,eng,738,20508,1686
237,Poetry for Young People: Edward Lear,Edward Lear-Laura Huliska-Beith-Edward Mendelson,3.90,0806930772,9780806930770,eng,48,64,18
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.04,0140366601,9780140366600,eng,287,76,6
245,Henry Miller on Writing,Henry Miller-Thomas H. Moore,4.23,0811201120,9780811201124,eng,217,937,50
247,Quiet Days in Clichy,Henry Miller,3.69,080213016X,9780802130167,eng,154,3237,134
249,Tropic of Cancer,Henry Miller-Jiří Níl,3.69,0802131786,9780802131782,eng,318,50905,2290
250,Tropic of Capricorn,Henry Miller,3.82,0802151825,9780802151827,eng,348,13549,448
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.09,0802151787,9780802151780,eng,316,3181,53
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,4.04,0802151809,9780802151803,eng,506,7024,248
253,The Air-Conditioned Nightmare,Henry Miller,3.83,0811201066,9780811201063,eng,292,2627,142
264,The Portrait of a Lady,Henry James-Patricia Crick,3.77,0141439637,9780141439631,eng,797,60027,1854
269,The Portrait of a Lady,Henry James-Gabriel Brownstein-Mary Cregan,3.77,1593080964,9781593080969,eng,635,386,40
275,The Lover,Marguerite Duras-Barbara Bray-Maxine Hong Kingston,3.75,0375700528,9780375700521,eng,117,22014,1363
278,The War,Marguerite Duras-Barbara Bray-قلسم روبین,3.85,1565842219,9781565842212,eng,192,918,62
280,The Ravishing of Lol Stein,Marguerite Duras-Richard Seever,3.67,0394743040,9780394743042,en-US,181,1939,122
281,Destroy  She Said,Marguerite Duras-Barbara Bray-Helen Lane Cumberford,3.68,080215154X,9780802151544,eng,133,532,41
283,L'Amant de la Chine du Nord,Marguerite Duras,3.89,2070388093,9782070388097,fre,246,312,23
285,Love Letters,Kahlil Gibran-Suheil Bushrui-Salma H. Al-Kuzbari,3.67,1851681825,9781851681822,eng,178,201,9
288,Kahlil Gibran: His Life and World,Jean Gibran-جبران خليل جبران-Kahlil Gibran,4.20,156656249X,9781566562492,eng,464,33,2
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran-John Walbridge-Robin Waterfield,4.19,014019553X,9780140195538,eng,102,320,16
290,Jesus the Son of Man,Kahlil Gibran-جبران خليل جبران,3.98,0394431243,9780394431246,eng,216,1272,78
291,The Broken Wings,Kahlil Gibran-جبران خليل جبران-Anthony R. Ferris,3.92,0806501901,9780806501901,eng,132,6175,492
292,Sand and Foam,Kahlil Gibran-جبران خليل جبران,4.08,067943920X,9780679439202,eng,100,2893,210
295,Treasure Island,Robert Louis Stevenson,3.83,0753453800,9780753453803,eng,311,301399,6160
296,Treasure Island,Robert Louis Stevenson-Scott McKowen,3.83,1402714572,9781402714573,en-US,213,393,41
297,Treasure Island,Robert Louis Stevenson,3.83,1416500294,9781416500292,eng,245,5900,270
298,Treasure Island,Robert Louis Stevenson-N.C. Wyeth-Timothy Meis,3.83,0689854684,9780689854682,eng,64,103,16
299,Treasure Island,Robert Louis Stevenson-Milo Winter,3.83,0517221144,9780517221143,en-US,272,56,4
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken-A.J. McAllister-Robert Louis Stevenson,4.04,1577658051,9781577658054,eng,232,85,18
304,Daniel Deronda,George Eliot-Edmund White,3.83,037576013X,9780375760136,eng,796,19852,601
313,100 Years of Lynchings,Ralph Ginzburg,4.63,0933121180,9780933121188,eng,270,81,4
320,One Hundred Years of Solitude,Gabriel García Márquez-Gregory Rabassa,4.06,0060531045,9780060531041,eng,417,547207,15763
324,Cien años de soledad,Gabriel García Márquez,4.06,0785950109,9780785950103,spa,448,54,6
325,Cien años de soledad,Gabriel García Márquez,4.06,8423919005,9788423919000,spa,456,73,8
330,On Beyond Zebra!,Dr. Seuss,4.04,0394800842,9780394800844,eng,64,2724,153
332,The Wedding Clause,Debbie Raleigh,3.58,0821778250,9780821778258,eng,256,89,11
333,The Zebra Wall,Kevin Henkes,3.46,0060733039,9780060733032,eng,147,206,23
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,9788432216060,spa,239,3956,242
338,Jitterbug Perfume,Tom Robbins,4.24,0553348981,9780553348989,eng,352,4157,393
343,Perfume: The Story of a Murderer,Patrick Süskind-John E. Woods,4.02,0140120831,9780140120837,eng,263,212561,7070
347,Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein,Robert A. Heinlein,4.01,1582881847,9781582881843,eng,738,250,17
348,The Door Into Summer,Robert A. Heinlein,4.01,0345413997,9780345413994,eng,304,16743,617
349,The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,0312863551,9780312863555,eng,382,3667,416
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,0441788386,9780441788385,eng,528,241727,5985
352,The Notebooks of Lazarus Long,Robert A. Heinlein-Stephen Hickman,4.07,074348844X,9780743488440,en-US,56,3192,23
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,0441748600,9780441748600,en-US,434,10140,187
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,0345316509,9780345316509,en-US,439,15580,422
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,0765314932,9780765314932,eng,256,6723,188
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,0671742515,9780671742515,en-US,307,65988,1353
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.92,0345455290,9780345455291,eng,298,21562,722
360,Mostly Harmless (Hitchhiker's Guide to the Galaxy  #5),Douglas Adams,3.97,0345418778,9780345418777,en-US,240,72235,1269
